"","text"
"133"," hdkalian  tenangstostress mikirin covidorg sakit krn turun temurunsakit krn rgantian musim  d bilang covidklu  nter jgn rcy covid rcy ae sm gusti allahta bnyk yg matizona hitam bhullseetits all just a game"
"134"," to berita tekno kemarin kamis  januari   setar ndemi covidtemtekno"
"135","ayah member  dah stage  covid doktor tidurkan dah doa   terbaik"
"136","seandainya   rizieq shihab tuh terhadaaturan okes covid   menciakan kerumunan  keadaannya     sehat walafiat  rumah petamburansemoga allah   terbaik amiinvaksin selektif tet gunakandangkanhanifalatas "
"137","kebohongan yg  rizieq sakit ta mengaku sehat kena covid mengaku istirahat  membahayakan orang   menghalangi nanganan ndemi vaksin selektif tet gunakandangkanhanifalatas "
"138","  disuntikkan vaksin covid rtama   menunggu     mendatkan vaksin keduanyavaksin selektif tet gunakandangkanhanifalatas "
"139","buti sleman positif    divaksin covid kemenkes buka suara "
"140","adik  nak kahwin     suruh mandi bunga ni kang diorang ni kahwin time covid ni  jimat  "
"141","taska anak jiran cikgu nya sitif covid allahu sami   nak hadanews  ni anak rindu kawan kesiannya anak mommy tutnya umur  ni diorang berkawan kat sekolah jelah  berkawan cousin takde"
"142","dilarkan hostal  brazil kehabisan bekalan oksigen kerana sakit covid    ramai keluarga sakit  terksa membeli  bekalan oksigen  venezuelaperkara   menyedihkan "
"143","pls show more of this sort of news  gi highlight orang kat serdang tu wuiyo litnya haeningnya bullshit  seksanya sesak nafas kerana covid "
"144","pesakit covid rlu sentiasa sitif  dr zulkifli "
"145"," gk bener aja bacot si satya purwanto"
"146","menuduh tan bukti  memerintah  satya purwanto  esidenwoey kumlin bukti serahkan    bener berani "
"147","  fitnah k herman hery tsatya purwanto  jg  melecehkan kredibilitas "
"148","biarkan kpk   ofesionaljangan  intimidasi alagi  nggiringan onipara ngamat   berkomentar yg  relevan    memaksakan kehendak  asumsi kentingan kelomk  "
"149"," berdasarkan  satya purwanto  berani   sami melecehkan kredibilitas kabikitas  ofesionalisme "
"150"," bos   sitif covid kmrn habis swab  hasilnya emng sitifdan si bak tiahari nge chat kayak gini   takut si eheh "
"151","menkes akui pemerintah salah sasaran  testing covid "
"152"," teross klo boemi  datardia kudu dikai otak nya klo ngehoaxjangan bego dilihara"
"153","berita bagus   klaster covid  pilkada  membuktikan   rsian matang  lkada serentak pilkadasuksesdiaesiasi "
"154","tetangga seberang rumah gua  covid   keluarga anjir  takut aja  wabah   "
"155","disiin   daerah suku baduy nol  corona   ndemi covidsalut deh    dianggaoleh  masyarakat tertinggal   informasi am technology   tuh dr masyarakat kotavaksin selektif tet gunakandangkanhanifalatas "
"156","  tenang    netizen  tahan sebak tengok  keluarga video call   pergi akibat covid "
"157","covid  rcaya  andemik ta jual vitamin  rawat covid"
"158","   dexamethasone   covidpenggunaan dexamethasone    sien    sien yg mengalami alergi yg rahbukan   yg sitif covid   sembuhdexamethasone nya efeksamng serius jgn sembarangan"
"159"," takut divaksinvaksin covid produksi sinovac aman  halal "
"160"," takut divaksinvaksin covid produksi sinovac aman  halal "
"161","pesakit covid rlu sentiasa sitif  dr zulkifli "
"162","viral unila ngotot turunkan mahasiswa kkn  desadesa dahal  ditegur gugus tugas covid "
"163","satgas covid mengungkaan syarat   daerah bebas  pemberlakuan pembatasan kegiatan masyarakat ppkm a  sih ppkm "
"164","  nghuni panti asuhan st fransiskus asisi  pancoran mas dek jawa barat terkonfirmasi sitif covid berdasarkan hasil tes pcr "
"165","kemenkes  vaksin covid membutuhkan  kali suntikan  membentuk antibodi buti sleman  mendatkan suntikan rtama "
"166","hallo kawan jmpatuhi otokol kesehatan  memutus nyebaran covid  kawan jm  beraktivitas dimanan  kann  lu  m ya memakai masker menjaga jarak mencuci tanganyuk bersamasama  cegah nyebaran covid "
"167"," ache che lenna motsoalle oaka  aya leha hothoe covid hae fele"
"168","yes bro percayalah covid ni wujud  konsrasi "
"169","wasafiri kutoka tanzania wazuiwa kuingia uingereza hatua hiyo inalenga kujaribu kuzuia maambukizi ya kirusi kia cha covid kutoka afrika kusini zuio halitawahusu raia wa uingereza ireland na wote wenye haki za makazi wanaorejea nchini humosoma "
"170","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"171"," susune so anget janganjangan covid"
"172","semt divaksin buti sleman sri purnomo positif covid "
"173","majlis ramah mesra  presiden persatuan alumni covid "
"174"," masjid  deket rumah ditutukarena imamnya  yg meninnggal covid trus lang jumatan   mer coba tebakk  jumatan bareng sia gue   tetangga sebelah eh taunya bukaaan bareng k muh wkwkwk"
"175","mantanih gubernur jatengbeda anies beda la ganjar pranowo  memilih lemr handuk gubernur jateng memilih sang badan  nanganan covid  jawa  "
"176","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"177","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"178","dukung ogram merintah  melaksanakan vaksin covid  khawatir vaksin sinovac  suci  halal aman  digunakanvaksin selektif tet gunakandangkanhanifalatas "
"179","briefing a covid covid ni   berkuml ramairamai benaknya  hod ni dah la cakabnyk  malas nak dgr  membebel  ni"
"180","nak bash orang  salah marah la menteri k  k tu tutnya kerja diorang suka  target orang  cuba  something tengok dg hisyam  tu  gov servant ta netizen still attack   something goes wrong time covid ni"
"181","menkes akui pemerintah salah sasaran  testing covid "
"182","pengusaha  artis langgar aturan covid      bebashrs  fpi    alasan   utk  tangkadan  bubarkanyaudah  ya semau elu aja urus bangsa inintr   masanya elu kualat"
"183","alhamdulillah  bgs udah ham titiknya  dimana  pejabat karantina kesehatan mari batasi aktivitas k suya  bergian  rlu tes pcr  emang  bergerak kemanamana "
"184","  buti  sitif covid    divaksinada bebera  beliau terr virus    divaksin vaksin  dosis  kekebalan   eh ketemu virusnya dst solusi perkuat m t nutrisi buka jendela"
"185"," selamat siang rmisi  zulfa mazidah    ngumuman nerimaan relawan kesehatan covid  nggih tetnya pasalnya  surat edaran ngumuman seleksi administrasi   tanggal  januari  terima kasih"
"186","wasafiri kutoka tanzania wazuiwa kuingia uingereza hatua hiyo inalenga kujaribu kuzuia maambukizi ya kirusi kia cha covid kutoka afrika kusini zuio halitawahusu raia wa uingereza ireland na wote wenye haki za makazi wanaorejea nchini humosoma "
"187","oya uingerezasisi covid  tulishaiondoaga kwa maombi mjue"
"188","tunatokaje kwenye janga la covid meko aitishe emergency cabinet meetingmeko ahutubie taifa kama cic na twende kwenye tujisahihishe phase kama nyerere alivyofanya kukubali sap baada ya azimio la arusha kufeli miserablymeko needs to let wizara ya afya be sober na huru"
"189"," jgn ngremehin yg kecilcovid  tbsa bikin kalang kabut manusia  bumi "
"190"," anggota dpr  pdi perjuangan ditengarai meminjam bendera rusahaan   mendatkan jatah bansos covid  kementerian sosialtangkaadamtangkaadam "
"191","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"192"," tujuh orang  rumah skrng tinggal  orang kakak  adik reman   mae kakak   sorang  hostal sungai buloh   arwah abang ir    meninggal dunia  gi   hostal sungai buloh kerana covid "
"193"," anggota dpr  pdi perjuangan ditengarai meminjam bendera rusahaan   mendatkan jatah bansos covid  kementerian sosialtangkaadamtangkaadam "
"194","fakta penetan tersangka mrstindak dana  acara  menimbun kerumunan massa  melanggar otokol kesehatan   pandemi covidvaksin selektif tet gunakandangkanhanifalatas "
"195","   jumat tanggal  januari  bhabinkamtibmas kelbatununggal aiu mozes  ketua gugus tugas covid kelbatununggal kecbandung kidul kota bandung melaksanakan giat kontrol lembur tohaga lodaya devisi ketahanan pangan mbuatan kolam ikan "
"196","viral unila ngotot turunkan mahasiswa kkn  desadesa dahal  ditegur gugus tugas covid "
"197","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"198"," hasil kerjakerjakerja    jd presiden kerjanya ngain aja  sam ekonomi berantakan  covid  tertangani ngutang   lunasi  ditambah  "
"199","seandainya   rizieq shihab tuh terhadaaturan okes covid   menciakan kerumunan  keadaannya     sehat walafiat  rumah petamburansemoga allah   terbaik amiinvaksin selektif tet gunakandangkanhanifalatas "
"200","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"201","pesakit covid rlu sentiasa sitif  zulkifli "
"202","pemerintah setemt  mencatat  laran  sitif warga terinfeksi virus mematikan  "
"203","media mainstream rajin memberitakan damk covid teta       rs nuh  coba  beritakan damk covid dr sudut ndang    brik yg bangkrut  phk umkm yg bangkrut pengangguran   sulit cari kerjaberani"
"204"," takut divaksinvaksin covid produksi sinovac aman  halal "
"205","buti  dokter terinfeksi covid  disuntik vaksin "
"206","uni emirat arab mengeluarkan izin kai vaksin covid stnik v buatan rusia   izin internasional rtama  vaksin  "
"207","gejala covid    da kulit  ruam  gejala da kulit   keradialami sien corona  terr "
"208","ayah member  dah stage  covid doktor tidurkan dah doa   terbaik"
"209"," takut divaksinvaksin covid produksi sinovac aman  halal "
"210","babinsa desa purbowangi koramil buayan sertu teguh prayitno  terlibat  nyemotan desinfektan  desa jogomulyo kec buayan menyusul terrnya warga sitif covid  berinisial ps rtrw desa jogomulyo  melaksanakan tracing  minggu   "
"211","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"212"," yg   serti a coba kasi tau  ketua nanganan covid menutu kasusnya    nggak  blik  membuka  memudahkan tracing kasi contoh buruk    nggak"
"213","satgas covid mengungkaan syarat   daerah bebas  pemberlakuan pembatasan kegiatan masyarakat ppkm a  sih ppkm "
"214","kadar kebolehjangkitan covid  rort da jangkaan mengikut kes seharian da  januari    negara    cahan mengikut negeri  serti  lamran "
"215"," nggak  ngerasa flu tenggorokan gatel  sakit ta langusung rno kena covid  dirika  negatif  kena flu    ndemi gini  emang musti  aware ta hatihati  anxiety "
"216","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
